level,title,object_type,object_name,abnormal_window,impact,evidence_count,probable_root_cause,confidence,next_action,source_pack
main_issue,“afterPropertiesSet” 对象在长窗内呈现新风险，但代表慢样本更像真实业务 URI 的代码级放大,action,SpringController/ProductIndexController.afterPropertiesSet,2025-12-20 至 2026-03-31；comparison baseline 为最近 30 天对比前 30 天,action_fact_sheet 显示平均响应 676275.5ms、总耗时 16906887ms、共 25 次调用；comparison_signals_pack 标记为 new_risk，代表 trace 1710818946 单次耗时 8976ms 并伴随错误痕迹。,4,当前更像应用代码路径和 Redis/数据库编排放大，而不是纯数据库单点；同时 action alias 与真实 URI 不一致，增加了对象判读成本。,medium,正式报告中需同时保留 alias 与代表 URI；下轮建议补 route 映射或业务标签，确认该对象是否真实用户入口。,report_fact_pack|comparison_signals_pack|action_fact_sheet|action_dependency_breakdown_pack
main_issue,dwrLawCheckService.lawyerEorkTimeTop10Data.dwr 出现极端慢 trace，瓶颈明确落在 MySQL,trace,trace:1651592641,2025-12-20 至 2026-03-31；代表事件时间=2026-03-26 08:20:12,action_fact_sheet 显示该 action 平均响应 1541760.0ms，仅 2 次调用就累计 3083520ms；代表 trace 单次耗时 1565149.563ms。,4,该问题是数据库主导的极端慢调用，应用层只是承接放大结果；优先排查具体 SQL 与数据库连接占用。,high,将该 trace 作为正文典型深挖样本，结合 SQL 主问题单列分析，不与 afterPropertiesSet 混写。,trace_case_pack|trace_fact_sheet|action_fact_sheet|action_dependency_breakdown_pack
main_issue,SQL sql:6307bcf55ade35ac 是长窗内累计影响最大的数据库问题，并伴随连接池争抢信号,sql,sql:6307bcf55ade35ac,2025-12-20 至 2026-03-31,"平均响应时间 1,695,508ms，总耗时 269,585,795ms，159 次执行、110 条 trace 绑定、79 次错误；同一 MySQL 连接池历史最大 waiter_connections 达 92。",4,复杂 count 子查询导致执行计划与索引覆盖不佳，并在高峰时段放大为数据库连接池争抢。,high,把这条 SQL 作为 SQL 章节主问题 1；下轮若改代码，应补 impacted_actions / related_traces 的更稳定出参。,slow_sql_pack|sql_fact_sheet|database_component_pack|connection_pool_pack
main_issue,附件上传链路是高量高错异常簇，代表错误样本指向在线预览代码路径,action_cluster,attachment.upload POST cluster,2025-12-20 至 2026-03-31,两条上传链路 action_fact_sheet 合计 45962 次调用、errorCount=100，errorRate 分别为 0.161 和 0.277。,4,问题更像共享的附件上传/在线预览链路异常，可能涉及文件预览服务、公共代码路径和下游依赖协同放大。,high,正文中建议把两条上传 action 合并成一个“上传/预览链路异常簇”，并单独说明 route 演进与文件服务关系。,report_fact_pack|action_fact_sheet|action_dependency_breakdown_pack|trace_fact_sheet
observation,外部 http 依赖在 comparison 中呈回归趋势，但暂不足以单独上升为系统主问题,dependency,1065_0_0_External_http_[http],2025-12-20 至 2026-03-31；comparison baseline 为最近 30 天对比前 30 天,current response_time_ms 从 4506ms 升至 5507ms，长窗平均 4944ms，错误率 13.25%，影响 3 个上游应用。,3,可能是共享外部 HTTP 服务抖动或超时重试，但当前还缺少业务级影响闭环。,medium,保留为 observation，正式报告可写成跨系统共享风险，不宜单独定为核心根因。,external_dependency_pack|comparison_signals_pack|topology_dependency_pack
observation,两个 main_issue trace 候选在手工追取后仍拿不到有效 detail，属于深挖素材不足,trace,trace:1423238353 / trace:1432031331,2025-12-20 至 2026-03-31,虽然 main_issue_selections 将其列为强候选，但 trace_fact_sheet 返回 detail_summary 为空，无法用于正式正文举证。,2,可能是 trace 明细查找条件不足、live 数据保留差异或 adapter 对旧 trace 的取数链路不稳定。,high,在 01_exec_summary.md 记为下轮改代码建议；本轮只把它们保留为 observation。,report_fact_pack|trace_fact_sheet
observation,应用 / 实例层未见明显 CPU 不均衡，问题更集中在请求与下游组件层,instance,apps 1644 / 1645 / 1646,2025-12-20 至 2026-03-31,三套 application 都是单实例部署，CPU latest/peak 均较低（0.46%~2.95%），没有主机资源打满迹象。,2,系统性慢问题更可能来自代码、数据库、外部依赖和连接池，而不是基础 CPU 资源不足。,medium,在正式报告中把“应用/实例层未见明显不均衡”写成排除项，同时说明 JVM 图为空是能力边界。,instance_analysis_pack
observation,上传链路在 comparison 中出现“旧 upload 路由 disappeared、当前 POST 变体仍异常”的路由演进迹象,regression_signal,URI/grcv5/user/component/AttachmentController/upload,最近 30 天对比前 30 天,comparison_signals_pack 同时给出 disappeared 与 insufficient_baseline 信号，说明上传链路对象标识存在演进或切换。,2,路由重命名、埋点口径变化或业务入口迁移，导致 comparison 对象键不稳定。,medium,正式报告中按“上传/预览异常簇”聚合对象，避免把 disappeared route 误判成问题消失。,comparison_signals_pack|action_fact_sheet
optimization_opportunity,sql:b654acf7ba89a028 可作为高频读取优化储备,sql,sql:b654acf7ba89a028,2025-12-20 至 2026-03-31,"28 次执行、trace_count=28、总耗时 383,779ms，虽然单次不如主问题 SQL 极端，但频次稳定。",1,结果集裁剪、索引命中和读取路径仍有优化空间。,medium,列为 SQL 优化储备，不上升为系统主问题。,sql_candidates(manual_derivation)
optimization_opportunity,sql:75960d2532477f1c 具备 JOIN/LEFT_JOIN/SUBQUERY 复杂结构，适合单列执行计划优化,sql,sql:75960d2532477f1c,2025-12-20 至 2026-03-31,"5 次执行，总耗时 65,528ms，trace_count=2，结构复杂度高于其出现频次。",1,复杂 join/subquery 结构带来放大风险。,medium,作为 SQL 优化储备，优先核查执行计划和索引覆盖。,sql_candidates(manual_derivation)
optimization_opportunity,sql:574e665bb656f41e 属于中频子查询型储备 SQL,sql,sql:574e665bb656f41e,2025-12-20 至 2026-03-31,"3 次执行、总耗时 235,688ms，带 SUBQUERY 标签。",1,子查询结构可能在特定业务参数下放大。,low,作为 SQL 优化储备保留，不写成正文主问题。,sql_candidates(manual_derivation)
