section,object_type,object_name,page_type,url_status,direct_url,fallback_url,navigation_path,url_source,suggested_capture,suggested_annotation,why_relevant,evidence_linkage,priority
3.1 业务系统总体检查,system,集团法务,business_system_overview,direct,http://169.169.173.25:8080/web/server/trace-detail/tx/1065/1779409120?timestamp=1775523101840,http://169.169.173.25:8080,业务系统 > 1065 > 总览,captured_page_url,响应时间趋势图 | 错误率趋势图 | Apdex / 健康度摘要,圈出异常时间窗 | 标注 P99 抬升时段 | 标注 action 告警数量,用于查看业务系统健康度、响应时间、吞吐率、错误率和 Apdex 趋势。,总体健康趋势与 action health 佐证；适合 3.1 总体检查。,high
3.7 运行环境与基础设施关联检查,system,集团法务,business_system_topology,direct,http://169.169.173.25:8080/web/server/trace-detail/tx/1065/1779409120?timestamp=1775523101840,http://169.169.173.25:8080,业务系统 > 1065 > 拓扑,captured_page_url,业务系统拓扑图 | 外部依赖节点 | 数据库与应用节点关系,圈出异常依赖方向 | 标出关键数据库组件 | 标出用户入口应用,用于查看系统级依赖、外部服务和数据库拓扑。,外部依赖、数据库、文件服务拓扑关系；适合 3.7 运行环境与基础设施检查。,medium
3.4 SQL 检查,sql,sql:6307bcf55ade35ac,slow_sql_list,direct,http://169.169.173.25:8080/web/server/trace-detail/tx/1065/1779409120?timestamp=1775523101840,http://169.169.173.25:8080,业务系统 > 数据库组件 > 慢 SQL,captured_page_url,慢 SQL Top 列表 | 语句类型分布 | 高 trace SQL 列表,标出最慢 SQL | 标出受影响组件 | 标出高调用或高 trace SQL,用于查看业务系统范围内的慢 SQL Top。,SQL 总览与候选排序入口；适合 3.4 SQL 检查。,high
3.5 页面用户体验检查,page,页面代理证据,page_experience_proxy,direct,http://169.169.173.25:8080/web/server/trace-detail/tx/1065/1779409120?timestamp=1775523101840,http://169.169.173.25:8080,业务系统 > 拓扑 > 用户入口 > 代表性接口,captured_page_url,用户入口到应用拓扑 | 代表性后端接口列表 | 外部依赖列表,标注页面代理对象 | 标注对应后端接口 | 标注页面侧缺失能力范围,用于从用户入口拓扑和代表性后端请求代理查看页面体验证据。,页面代理证据：仅可用于用户入口/后端链路代理，不能当作真实页面体验指标。,medium
3.4 SQL 检查,sql,sql:6307bcf55ade35ac,sql_detail,direct,http://169.169.173.25:8080/web/server/trace-detail/tx/1065/1779409120?timestamp=1775523101840,http://169.169.173.25:8080,业务系统 > 数据库组件 > 10.190.22.21:3306 > SQL 详情,captured_page_url,SQL 指标摘要 | SQL 文本或特征 | 耗时/错误相关图表,标出 SQL 指纹 | 标出平均耗时 | 标出错误次数或 trace 数,用于查看单条 SQL 的耗时、错误和调用者。,SQL 明细截图入口；配合 SQL 主问题使用。,high
3.4 SQL 检查,sql,sql:6307bcf55ade35ac,sql_related_actions,direct,http://169.169.173.25:8080/web/server/trace-detail/tx/1065/1779409120?timestamp=1775523101840,http://169.169.173.25:8080,业务系统 > 数据库组件 > 10.190.22.21:3306 > SQL 调用者,captured_page_url,关联事务列表 | 代表性 trace 列表,标出受影响接口 | 标出代表性 trace | 标出影响面,用于查看受该 SQL 影响的事务或接口。,SQL 与调用者 action/trace 的关联截图入口。,medium
3.3 事务与服务接口检查,action,SpringController/ProductIndexController.afterPropertiesSet,action_overview,direct,http://169.169.173.25:8080/web/server/action/overview/1065/1645/13278,http://169.169.173.25:8080,应用 > 1645 > 事务与服务接口 > 13161,captured_page_url,,,用于查看 13161 的概览、错误和下游组件。,MI-01 主证据：对象概览页。,high
3.5 请求追踪与根因分析专题,trace,trace:1710818946,trace_detail,direct,http://169.169.173.25:8080/web/server/trace-detail/tx/1065/1779409120?timestamp=1775523101840,http://169.169.173.25:8080,请求追踪 > 1710818946,captured_page_url,,,用于查看 afterPropertiesSet 的代表性错误/慢 trace。,MI-01 深挖样本：代码级慢 trace。,high
3.3 事务与服务接口检查,action,URI/grcv5/dwr/call/plaincall/dwrLawCheckService.lawyerEorkTimeTop10Data.dwr,action_overview,direct,http://169.169.173.25:8080/web/server/interface/overview/1065/1644/13167/0,http://169.169.173.25:8080,应用 > 1644 > 事务与服务接口 > 31762,captured_page_url,,,用于查看 DWR 接口概览与相关 trace。,MI-02 主证据：极端慢 action 概览。,high
3.5 请求追踪与根因分析专题,trace,trace:1651592641,trace_detail,direct,http://169.169.173.25:8080/web/server/trace-detail/tx/1065/1779409120?timestamp=1775523101840,http://169.169.173.25:8080,请求追踪 > 1651592641,captured_page_url,,,用于查看 DWR 极端慢 trace 的瓶颈节点。,MI-02 深挖样本：数据库独占耗时。,high
